Name,Subject,Level,Candidates,Mean Grade,1%,2%,3%,4%,5%,6%,7%,Session,Year
SPORTS EX SCI HL,SPORTS EX SCI,HL,816,4.84,0.1,2.5,15.7,21.7,26.1,22.6,11.3,May,2020
FURTH. MATHS HL,FURTH. MATHS,HL,264,5.19,1.2,6,17.9,9.5,13.1,17.5,34.9,May,2020
MATH.STUDIES SL,MATH.STUDIES,SL,36138,4.46,1.4,6.2,13.6,27.8,30.8,14.5,5.5,May,2020
MATHEMATICS HL,MATHEMATICS,HL,16756,5.05,0.3,2.6,9.9,21.5,27.8,20.6,17.3,May,2020
MATHEMATICS SL,MATHEMATICS,SL,50756,4.8,0.6,3.5,10.5,24.7,30.3,22.4,7.9,May,2020
DANCE HL,DANCE,HL,380,4.62,0,4.5,15.8,25.6,27.9,19.4,6.8,May,2020
DANCE SL,DANCE,SL,448,4.15,0.3,2.3,36.9,25,18,13.4,4.1,May,2020
FILM HL,FILM,HL,2829,4.35,0.4,6.7,17,31.2,27.6,12.6,4.5,May,2020
FILM SL,FILM,SL,1421,3.99,0.8,11.9,22.5,32.5,19.1,10.8,2.5,May,2020
MUSIC HL,MUSIC,HL,1301,4.93,0,1.6,10.5,20.9,35.9,22.5,8.5,May,2020
MUSIC SL,MUSIC,SL,2128,4.95,0.1,1.6,9.6,19,37.5,25.3,6.7,May,2020
THEATRE HL,THEATRE,HL,2448,4.89,0.1,2.2,8.7,26.8,30.1,23.9,8.3,May,2020
THEATRE PILOT HL,THEATRE PILOT,HL,238,5.61,0,0,2.6,12.8,31.5,27.7,25.5,May,2020
THEATRE PILOT SL,THEATRE PILOT,SL,52,5.47,0,0,2,22.4,20.4,36.7,18.4,May,2020
THEATRE SL,THEATRE,SL,1107,4.56,0.5,4.2,12.9,32.4,28.1,15.2,6.7,May,2020
VISUAL ARTS HL,VISUAL ARTS,HL,10210,4.21,0.2,5.9,22.5,31,27.6,10.3,2.6,May,2020
VISUAL ARTS SL,VISUAL ARTS,SL,5584,3.85,0.1,8,32.3,33.5,19.8,5.1,1.2,May,2020
ENV. AND SOC. SL,ENV. AND SOC.,SL,15949,4.36,0.9,6.5,22.5,23.1,26.4,14.4,6.3,May,2020
LIT AND PERF SL,LIT AND PERF,SL,567,4.73,0,1.8,14.3,25.3,33.6,18.1,7,May,2020
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
